City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Hilo,US,2021-08-11 20:43:29,19.7297,-155.09,79.79,90,90,9.22
59,Cap Malheureux,MU,2021-08-11 20:43:29,-19.9842,57.6142,72.46,84,2,5.01
60,Balkanabat,TM,2021-08-11 20:43:29,39.5108,54.3671,91.38,17,6,7.25
61,Mataura,NZ,2021-08-11 20:43:30,-46.1927,168.8643,55.47,78,100,4.76
62,Ribeira Grande,PT,2021-08-11 20:43:30,38.5167,-28.7,75.6,83,40,8.05
63,Roros,NO,2021-08-11 20:43:30,62.5747,11.3842,49.84,87,90,4.61
64,Tuatapere,NZ,2021-08-11 20:43:31,-46.1333,167.6833,55.81,83,100,6.46
65,Winnemucca,US,2021-08-11 20:43:31,40.973,-117.7357,96.85,6,1,6.91
66,Esperance,AU,2021-08-11 20:43:32,-33.8667,121.9,53.44,77,94,12.35
67,Shenjiamen,CN,2021-08-11 20:43:32,29.9576,122.298,79.32,92,99,10.92
68,Umm Lajj,SA,2021-08-11 20:43:33,25.0213,37.2685,90.01,45,0,4.65
69,Saint-Philippe,RE,2021-08-11 20:43:33,-21.3585,55.7679,71.15,85,49,11.18
70,Peyima,SL,2021-08-11 20:43:33,8.7,-11.0333,70.41,99,100,1.68
71,Bredasdorp,ZA,2021-08-11 20:43:34,-34.5322,20.0403,53.28,71,39,8.05
72,Vaini,TO,2021-08-11 20:43:34,-21.2,-175.2,66.36,88,90,10.36
73,Mahibadhoo,MV,2021-08-11 20:43:34,3.7833,72.9667,82.29,75,99,12.21
74,Iqaluit,CA,2021-08-11 20:43:35,63.7506,-68.5145,47.93,71,75,18.41
75,Jamestown,US,2021-08-11 20:42:00,42.097,-79.2353,83.52,73,1,21.85
76,Antofagasta,CL,2021-08-11 20:40:35,-23.65,-70.4,58.28,73,92,7.16
77,Berlevag,NO,2021-08-11 20:43:35,70.8578,29.0864,59.0,100,75,2.3
78,Ankazoabo,MG,2021-08-11 20:43:36,-22.2833,44.5167,62.82,54,1,4.14
79,Cherskiy,RU,2021-08-11 20:43:36,68.75,161.3,56.26,49,91,5.32
80,Bathsheba,BB,2021-08-11 20:43:36,13.2167,-59.5167,86.61,70,40,20.71
81,Cabo San Lucas,MX,2021-08-11 20:39:03,22.8909,-109.9124,92.52,76,75,3.0
82,Playa Del Carmen,MX,2021-08-11 20:43:29,20.6274,-87.0799,87.89,74,75,6.91
83,Hobart,AU,2021-08-11 20:43:37,-42.8794,147.3294,48.06,65,75,1.99
84,Ponta Delgada,PT,2021-08-11 20:43:37,37.7333,-25.6667,74.12,83,20,8.05
85,Bilma,NE,2021-08-11 20:43:37,18.6853,12.9164,91.06,42,56,9.48
86,Butaritari,KI,2021-08-11 20:43:38,3.0707,172.7902,83.1,67,9,13.09
87,Christchurch,NZ,2021-08-11 20:40:51,-43.5333,172.6333,52.48,100,50,3.44
88,Saint-Augustin,CA,2021-08-11 20:43:38,51.226,-58.6502,57.34,71,100,14.29
89,Svetlaya,RU,2021-08-11 20:43:38,46.5389,138.3297,56.5,64,26,3.6
90,Georgetown,MY,2021-08-11 20:38:48,5.4112,100.3354,78.75,88,20,3.44
91,Arraial Do Cabo,BR,2021-08-11 20:43:39,-22.9661,-42.0278,71.56,83,0,16.11
92,Kurilsk,RU,2021-08-11 20:43:39,45.2333,147.8833,52.88,82,62,7.07
93,Strezhevoy,RU,2021-08-11 20:43:40,60.7333,77.5889,48.18,75,0,9.4
94,Sampit,ID,2021-08-11 20:43:40,-2.5333,112.95,74.61,97,91,1.45
95,Sitka,US,2021-08-11 20:38:40,57.0531,-135.33,57.09,82,90,4.61
96,Cartagena,CO,2021-08-11 20:43:41,10.3997,-75.5144,82.02,89,75,6.91
97,Ormond Beach,US,2021-08-11 20:43:41,29.2858,-81.0559,91.17,61,40,11.5
98,Lavrentiya,RU,2021-08-11 20:43:41,65.5833,-171.0,41.79,67,100,6.06
99,Tamworth,GB,2021-08-11 20:41:54,52.634,-1.6959,67.62,73,73,8.01
100,Jumla,NP,2021-08-11 20:43:42,29.2747,82.1838,62.33,94,73,0.94
101,Namibe,AO,2021-08-11 20:43:42,-15.1961,12.1522,63.59,87,50,11.7
102,Batagay,RU,2021-08-11 20:43:43,67.6333,134.6333,60.22,97,100,1.39
103,Anadyr,RU,2021-08-11 20:43:43,64.75,177.4833,45.1,76,75,17.9
104,Airai,TL,2021-08-11 20:43:43,-8.9266,125.4092,56.73,85,34,3.83
105,Westport,US,2021-08-11 20:43:44,41.1415,-73.3579,94.01,76,1,4.0
106,Arrifes,PT,2021-08-11 20:43:44,37.7667,-25.7,71.85,83,20,8.05
107,Tiznit,MA,2021-08-11 20:43:44,29.5833,-9.5,66.04,74,0,3.06
108,Ocean City,US,2021-08-11 20:39:09,39.2776,-74.5746,95.25,82,6,11.68
