City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Norman Wells,CA,65.282,-126.8329,64.44,68,75,4.61,light intensity shower rain
182,Lagoa,PT,39.05,-27.9833,72.86,82,51,19.19,broken clouds
183,Geraldton,AU,-28.7667,114.6,72.01,40,0,10.36,clear sky
184,Hovd,MN,48.0056,91.6419,77.36,26,92,6.49,overcast clouds
185,Abu Samrah,SY,35.3029,37.1841,84.24,41,0,8.5,clear sky
186,San Matias,BO,-16.3667,-58.4,63.37,62,32,6.71,scattered clouds
187,Tautira,PF,-17.7333,-149.15,78.82,75,26,18.66,light rain
188,Kargopol,RU,61.5071,38.9456,62.67,93,100,8.84,overcast clouds
189,Olga,RU,43.7444,135.2892,69.82,53,54,7.76,moderate rain
190,Kahului,US,20.8947,-156.47,78.06,89,20,10.49,few clouds
191,Longyearbyen,SJ,78.2186,15.6401,42.64,93,75,8.05,light rain
192,Alice Springs,AU,-23.7,133.8833,65.75,19,40,11.5,scattered clouds
193,Sur,OM,22.5667,59.5289,92.03,55,96,0.78,overcast clouds
194,Wonthaggi,AU,-38.6044,145.5913,61.38,72,60,16.46,broken clouds
195,Coquimbo,CL,-29.9533,-71.3436,51.53,76,90,4.61,overcast clouds
196,Nabire,ID,-3.3667,135.4833,82.35,77,97,3.87,light rain
197,Lethem,GY,3.3803,-59.7968,73.31,93,97,2.98,overcast clouds
198,Buchanan,LR,5.8808,-10.0467,75.16,85,100,12.66,light rain
199,Caldwell,US,43.6629,-116.6874,84.81,36,1,5.01,clear sky
200,Muncar,ID,-8.4333,114.3333,83.39,71,81,8.21,broken clouds
201,Carnarvon,AU,-24.8667,113.6333,75.27,31,0,11.5,clear sky
202,Suleja,NG,9.1758,7.1808,69.06,98,100,2.19,overcast clouds
203,Marawi,PH,7.9986,124.2928,75.65,79,83,3.31,moderate rain
204,Arraial Do Cabo,BR,-22.9661,-42.0278,68.23,81,100,20.38,overcast clouds
205,San Luis,AR,-33.295,-66.3356,45.81,40,0,9.51,clear sky
206,Biak,ID,-0.9131,122.8766,82.49,72,55,6.82,broken clouds
207,Arak,IR,34.0917,49.6892,87.39,12,54,1.5,broken clouds
208,Mahebourg,MU,-20.4081,57.7,75.49,73,75,11.5,broken clouds
209,Todos Santos,MX,23.45,-110.2167,82.11,90,98,2.48,overcast clouds
210,San Quintin,MX,30.4833,-115.95,72.41,80,0,3.89,clear sky
211,Ostrovnoy,RU,68.0531,39.5131,60.4,73,100,2.98,overcast clouds
212,Nsukka,NG,6.8561,7.3927,68.0,98,100,4.29,overcast clouds
213,San Policarpo,PH,12.1791,125.5072,85.6,64,99,6.24,overcast clouds
214,Peniche,PT,39.3558,-9.3811,66.29,96,15,11.1,few clouds
215,Qaanaaq,GL,77.484,-69.3632,34.25,69,14,7.11,few clouds
216,Mitsamiouli,KM,-11.3847,43.2844,77.65,70,0,8.01,clear sky
217,Tazovskiy,RU,67.4667,78.7,57.72,72,100,7.4,overcast clouds
218,Ukiah,US,39.1502,-123.2078,68.97,62,45,2.95,scattered clouds
219,Leningradskiy,RU,69.3833,178.4167,44.71,80,100,4.29,light rain
220,Campbell River,CA,50.0163,-125.2446,74.73,74,12,5.37,few clouds
221,San Juan,AR,-31.5375,-68.5364,48.69,42,0,4.23,clear sky
222,Muroto,JP,33.2833,134.15,80.64,91,100,30.24,moderate rain
223,Sawtell,AU,-30.3833,153.1,68.32,72,75,8.05,broken clouds
224,Nizhneudinsk,RU,54.9076,99.0276,77.52,46,100,5.44,overcast clouds
225,Olafsvik,IS,64.8945,-23.7142,53.92,87,14,8.03,few clouds
226,Hualmay,PE,-11.0964,-77.6139,61.57,83,39,9.37,scattered clouds
227,Pacific Grove,US,36.6177,-121.9166,68.02,91,42,1.99,scattered clouds
228,Vanavara,RU,60.34,102.2797,68.56,67,100,3.44,light rain
229,Yumen,CN,40.2833,97.2,89.91,13,1,12.66,clear sky
230,San Jose De Las Lajas,CU,22.9614,-82.1511,75.76,90,3,4.76,clear sky
231,Drummondville,CA,45.8834,-72.4824,74.32,93,36,7.94,scattered clouds
232,Pilar,BR,-9.5972,-35.9567,69.73,89,63,5.35,broken clouds
233,Ovsyanka,RU,55.9575,92.5519,74.37,61,62,2.28,light rain
234,Erdenet,MN,49.0333,104.0833,65.7,74,78,5.48,broken clouds
235,Vanimo,PG,-2.6741,141.3028,83.66,72,100,8.63,overcast clouds
236,Mount Isa,AU,-20.7333,139.5,83.97,21,75,6.91,broken clouds
237,Kosikha,RU,53.3617,84.5822,59.77,67,97,9.55,overcast clouds
238,High Level,CA,58.5169,-117.136,62.71,77,1,0.0,clear sky
239,Bogorodskoye,RU,56.55,37.8833,62.78,85,69,13.18,broken clouds
240,Mar Del Plata,AR,-38.0023,-57.5575,30.22,100,0,2.3,mist
241,Duluth,US,46.7833,-92.1066,60.28,76,40,3.44,scattered clouds
242,Huarmey,PE,-10.0681,-78.1522,62.24,84,48,7.9,scattered clouds
243,Dingle,PH,10.9995,122.6711,90.59,55,30,6.06,scattered clouds
244,Hithadhoo,MV,-0.6,73.0833,81.43,74,98,10.78,overcast clouds
245,Impfondo,CG,1.6381,18.0667,71.15,95,95,2.01,overcast clouds
246,Bucerias,MX,20.75,-105.3333,78.98,88,56,1.61,broken clouds
247,Nouadhibou,MR,20.931,-17.0347,71.58,78,18,19.57,few clouds
248,Wladyslawowo,PL,54.7909,18.4009,67.93,62,20,4.81,few clouds
249,Timmins,CA,48.4669,-81.3331,62.42,63,40,6.91,scattered clouds
250,Paris,FR,48.8534,2.3488,64.26,85,0,2.3,clear sky
251,Chokurdakh,RU,70.6333,147.9167,57.2,68,93,14.16,overcast clouds
252,San Andres,CO,12.5847,-81.7006,82.42,83,75,4.61,broken clouds
253,Smirnykh,RU,49.75,142.8333,66.81,66,100,10.58,overcast clouds
254,Ixtapa,MX,20.7,-105.2,78.22,88,57,1.48,broken clouds
255,Aksu,CN,41.1231,80.2644,89.53,21,14,2.62,few clouds
256,Fare,PF,-16.7,-151.0167,78.78,71,15,15.19,light rain
257,Riyadh,SA,24.6877,46.7219,96.94,8,14,8.34,few clouds
258,Sisimiut,GL,66.9395,-53.6735,47.25,73,98,5.17,overcast clouds
259,Havelock,US,34.8791,-76.9013,82.94,90,8,1.01,clear sky
260,Codrington,AU,-38.2667,141.9667,55.87,76,11,15.75,few clouds
261,Komsomolskiy,UZ,40.4272,71.7189,85.35,28,48,4.61,scattered clouds
262,Bud,US,39.447,-86.1758,73.22,97,78,6.26,broken clouds
263,Karratha,AU,-20.7377,116.8463,81.28,21,0,6.31,clear sky
264,Linxia,CN,35.6003,103.2064,81.88,29,45,5.97,scattered clouds
265,Saint-Joseph,RE,-21.3667,55.6167,78.21,73,9,1.1,clear sky
266,Puerto Ayora,EC,-0.7393,-90.3518,68.56,89,18,4.0,few clouds
267,Piacabucu,BR,-10.4056,-36.4344,71.49,75,17,8.7,few clouds
268,Goma,CD,-1.6792,29.2228,69.01,71,70,1.68,light rain
269,Warri,NG,5.5167,5.75,73.2,90,69,3.98,broken clouds
270,Pisco,PE,-13.7,-76.2167,56.01,88,0,5.75,clear sky
271,Broome,US,42.2506,-75.833,74.7,88,93,5.01,overcast clouds
272,Rosetta,EG,31.4044,30.4164,82.22,57,0,9.66,clear sky
273,Fortuna,US,40.5982,-124.1573,56.66,94,75,0.0,broken clouds
274,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.7,44,62,1.1,broken clouds
275,Eston,CA,51.1501,-108.7514,61.92,41,64,2.35,broken clouds
276,Provideniya,RU,64.3833,-173.3,42.91,75,90,13.42,overcast clouds
277,Bilibino,RU,68.0546,166.4372,58.23,56,100,5.3,overcast clouds
278,Baft,IR,29.234,56.6057,81.75,9,8,2.66,clear sky
279,Shetpe,KZ,44.1667,52.1167,88.7,24,3,18.57,clear sky
280,Severodvinsk,RU,64.5635,39.8302,64.51,99,100,11.52,overcast clouds
281,Klaksvik,FO,62.2266,-6.589,54.52,94,86,10.51,overcast clouds
282,Victoria,HK,22.2855,114.1577,87.96,81,97,1.01,overcast clouds
283,Ipira,BR,-12.1583,-39.7372,63.07,96,94,4.54,overcast clouds
284,Kerrville,US,30.0474,-99.1403,78.93,83,61,1.01,broken clouds
285,Roald,NO,62.5833,6.1333,61.9,82,20,4.61,few clouds
286,Praia,CV,14.9215,-23.5087,75.74,73,20,16.11,few clouds
287,Miandrivazo,MG,-19.5167,45.4667,78.89,32,0,3.04,clear sky
288,Torbay,CA,47.6666,-52.7314,59.58,89,90,10.36,overcast clouds
289,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,25,0,18.41,clear sky
290,Pangkalanbuun,ID,-2.6833,111.6167,82.74,82,80,3.76,moderate rain
291,Bereda,ES,43.2686,-7.5406,60.42,100,87,3.4,overcast clouds
292,Samarai,PG,-10.6167,150.6667,78.3,87,100,14.5,light rain
293,Bardiyah,LY,31.7561,25.0865,82.42,62,0,7.4,clear sky
294,Solnechnyy,RU,50.7214,136.6319,73.87,50,96,6.67,overcast clouds
295,Dandong,CN,40.1292,124.3947,81.63,59,3,6.62,clear sky
296,Guerrero Negro,MX,27.9769,-114.0611,77.2,78,6,11.99,clear sky
297,Bandarbeyla,SO,9.4942,50.8122,83.21,60,78,23.98,broken clouds
298,Casma,CL,-41.0082,-73.1244,31.28,98,4,1.39,clear sky
299,Yaring,TH,6.8662,101.3689,87.84,62,100,7.99,overcast clouds
300,Hofn,IS,64.2539,-15.2082,53.98,85,100,8.59,overcast clouds
301,Milyutinskaya,RU,48.6279,41.6679,75.36,61,87,7.61,moderate rain
302,Barrow,US,71.2906,-156.7887,37.42,75,90,9.22,overcast clouds
303,Khani,GE,41.9563,42.9566,65.77,91,79,2.26,broken clouds
304,West Plains,US,36.7281,-91.8524,71.28,76,55,5.66,broken clouds
305,Touros,BR,-5.1989,-35.4608,70.7,89,2,10.4,clear sky
306,Mangai,CD,-4.05,19.5333,73.54,76,95,2.17,overcast clouds
307,Tual,ID,-5.6667,132.75,81.12,81,68,16.69,broken clouds
308,Mwinilunga,ZM,-11.7358,24.4293,63.82,26,0,3.4,clear sky
309,Barcelos,PT,41.5388,-8.6151,62.85,79,0,1.68,clear sky
310,Yulara,AU,-25.2406,130.9889,67.84,24,0,14.97,clear sky
311,Lorengau,PG,-2.0226,147.2712,81.39,80,99,7.58,overcast clouds
312,Ust-Kulom,RU,61.6864,53.6902,72.48,42,66,9.8,broken clouds
313,Georgiyevka,KZ,43.0369,74.7114,75.24,35,0,6.71,clear sky
314,Portree,GB,57.4129,-6.1942,55.85,91,100,19.95,overcast clouds
315,Kaitangata,NZ,-46.2817,169.8464,46.6,83,4,4.21,clear sky
316,Superior,US,46.7208,-92.1041,60.69,78,40,3.44,scattered clouds
317,Joao Alfredo,BR,-7.8558,-35.5883,63.0,95,3,4.05,clear sky
318,Piedras Negras,MX,28.7,-100.5167,85.05,65,15,17.43,few clouds
319,Corner Brook,CA,48.9667,-57.9484,69.93,95,66,4.85,broken clouds
320,Minab,IR,27.1467,57.0801,94.5,53,35,9.01,scattered clouds
321,Mattru,SL,7.6244,-11.8332,73.08,99,100,2.53,moderate rain
322,Gobabis,NA,-22.45,18.9667,41.23,50,1,9.66,clear sky
323,Matagami,CA,49.7502,-77.6328,64.51,63,1,5.75,clear sky
324,Ambilobe,MG,-13.2,49.05,81.77,44,1,3.62,clear sky
325,Rio Gallegos,AR,-51.6226,-69.2181,41.05,75,0,2.3,clear sky
326,Dossor,KZ,47.5272,52.9811,85.66,24,0,15.48,clear sky
327,Itigi,TZ,-5.7,34.4833,66.85,54,15,10.67,few clouds
328,Kruisfontein,ZA,-34.0033,24.7314,48.63,80,79,0.96,light rain
329,Tripoli,LY,32.8752,13.1875,84.36,62,0,8.41,clear sky
330,Sobolevo,RU,54.4299,31.8996,62.38,78,74,11.59,broken clouds
331,Sechura,PE,-5.5569,-80.8222,64.33,86,25,10.11,scattered clouds
332,Opuwo,NA,-18.0607,13.84,60.24,39,0,3.02,clear sky
333,Itoman,JP,26.1247,127.6694,86.02,84,75,12.66,broken clouds
334,Kurumkan,RU,54.3,110.3,76.89,50,25,3.87,light rain
335,Bonthe,SL,7.5264,-12.505,76.39,89,100,9.4,moderate rain
336,Nantucket,US,41.2835,-70.0995,76.96,95,36,17.6,scattered clouds
337,Katsuura,JP,35.1333,140.3,73.51,87,100,9.64,heavy intensity rain
338,La Puebla De Cazalla,ES,37.2216,-5.3115,78.12,44,38,1.21,scattered clouds
339,College,US,64.8569,-147.8028,55.0,89,100,3.18,overcast clouds
340,Grindavik,IS,63.8424,-22.4338,50.47,100,0,8.05,clear sky
341,Henties Bay,NA,-22.116,14.2845,51.85,89,20,1.57,few clouds
342,Evensk,RU,61.95,159.2333,51.03,88,95,9.95,overcast clouds
343,Qaqortoq,GL,60.7167,-46.0333,42.84,86,54,4.59,broken clouds
344,Lavrentiya,RU,65.5833,-171.0,43.18,71,59,10.38,broken clouds
345,Tabou,CI,4.423,-7.3528,76.08,78,98,10.09,overcast clouds
346,Prince Rupert,CA,54.3161,-130.3201,65.89,91,1,0.0,clear sky
347,Funtua,NG,11.5233,7.3081,67.73,97,100,6.98,overcast clouds
348,Rundu,NA,-17.9333,19.7667,58.93,25,0,2.33,clear sky
349,Eyl,SO,7.9803,49.8164,83.75,56,66,22.44,broken clouds
350,Labuhan,ID,-6.8844,112.2051,88.59,55,27,9.22,scattered clouds
351,Jalu,LY,29.0331,21.5482,84.99,45,0,15.39,clear sky
352,Ahipara,NZ,-35.1667,173.1667,54.64,86,59,10.2,broken clouds
353,Borogontsy,RU,62.6683,131.1683,81.37,27,16,7.56,few clouds
354,Troitsko-Pechorsk,RU,62.7084,56.1964,71.2,44,95,9.75,overcast clouds
355,Talnakh,RU,69.4865,88.3972,58.87,52,68,6.04,broken clouds
356,Kudligi,IN,14.9,76.3833,82.51,59,98,14.38,moderate rain
357,Belmonte,BR,-15.8631,-38.8828,66.7,82,47,5.3,scattered clouds
358,Arroyo,ES,41.6096,-4.7969,63.14,88,0,5.75,clear sky
359,Micheweni,TZ,-4.9667,39.8333,77.97,73,56,10.96,broken clouds
360,Port-Gentil,GA,-0.7193,8.7815,75.16,88,75,3.44,broken clouds
361,Krasnoselkup,RU,65.7,82.4667,65.62,51,98,5.68,overcast clouds
362,Jinxiang,CN,27.4327,120.6062,83.7,85,100,9.15,moderate rain
