City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Jinchang,CN,83.62,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
425,Ruteng,ID,74.48,few clouds,-8.6136,120.4721,Hotel FX72 Ruteng
427,Fayetteville,US,81.88,clear sky,35.0527,-78.8784,American Eagle Inn
430,Portland,US,87.67,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
432,Siderno,IT,83.84,clear sky,38.2779,16.302,Grand Hotel President
434,Kalmunai,LK,87.6,overcast clouds,7.4167,81.8167,VS Villa
435,Mezhdurechensk,RU,72.81,overcast clouds,53.6942,88.0603,Apartments Mezhdurechensk
437,Cabedelo,BR,72.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
440,Panacan,PH,86.81,overcast clouds,9.2463,118.4082,Mom's Place Resort
442,Namatanai,PG,82.54,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
443,Ranong,TH,82.33,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
444,Mekhe,SN,77.56,scattered clouds,15.1097,-16.6218,Chez ain
445,Muli,MV,82.42,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
452,Guaymas,MX,84.22,broken clouds,27.9333,-110.9,Hotel Armida
453,La Motte-Servolex,FR,74.1,clear sky,45.5942,5.8758,ibis budget Chambéry Centre-Ville
454,Galle,LK,81.28,overcast clouds,6.0367,80.217,Amangalla
455,Caucaia,BR,79.03,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
456,Moroni,KM,78.1,clear sky,-11.7022,43.2551,Hotel les Arcades
457,Gemena,CD,70.02,moderate rain,3.25,19.7667,Hôtel Goshen
458,Mango,US,79.02,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
460,Ormara,PK,80.71,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
461,Nyurba,RU,79.54,broken clouds,63.2842,118.3319,Gostinitsa Alrosa
462,Puerto El Triunfo,SV,77.36,broken clouds,13.2833,-88.55,Hotel Jardin
464,Daru,PG,78.58,light rain,-9.0763,143.2092,Daru Lodge
468,Byron Bay,AU,71.71,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
470,Isangel,VU,70.92,overcast clouds,-19.55,169.2667,Tanna Lodge
473,Pedasi,PA,78.57,overcast clouds,7.5333,-80.0333,Selina Pedasi
479,Pouembout,NC,71.04,few clouds,-21.1333,164.9,Camping de Tipenga
480,Rancho Palos Verdes,US,81.1,clear sky,33.7445,-118.387,Terranea Resort
484,Abilene,US,84.69,broken clouds,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
485,Flinders,AU,70.21,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
487,Batticaloa,LK,85.15,moderate rain,7.7102,81.6924,Grand Star Guest House
488,Chaplynka,UA,73.78,overcast clouds,46.3651,33.5403,Білий Дім
489,Abeche,TD,75.13,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
492,Obidos,BR,74.05,heavy intensity rain,-1.9175,-55.5181,Hotel Amazônia Center
497,Yarmouth,US,76.98,overcast clouds,41.7057,-70.2286,Blue Rock Resort
499,Inirida,CO,72.16,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
500,Blackwater,AU,78.66,clear sky,-23.5833,148.8833,Blackwater Motor Inn
501,Mata,PT,70.75,clear sky,40.683,-7.4592,Hostel EntryFik
504,Goderich,CA,76.91,clear sky,43.7501,-81.7165,Harmony Inn
508,Amuntai,ID,75.29,overcast clouds,-2.4177,115.2494,Hotel Balqis
509,Mayumba,GA,72.48,broken clouds,-3.432,10.6554,LIKWALE LODGE
512,Singkang,MY,89.76,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
513,Noumea,NC,71.58,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
514,Terre-De-Bas,GP,80.11,few clouds,15.8501,-61.6442,Hôtel Bois Joli
515,Marsh Harbour,BS,83.48,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
516,North Myrtle Beach,US,83.08,few clouds,33.816,-78.68,Avista Resort
517,Truckee,US,80.17,scattered clouds,39.328,-120.1833,Truckee Donner Lodge
520,Gambela,ET,73.6,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
523,Champerico,GT,81.36,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
526,Bougouni,ML,70.68,light rain,11.417,-7.479,Non Stop
528,Discovery Bay,US,75.36,clear sky,37.9085,-121.6002,Orwood Resort Inc
532,Qinzhou,CN,89.55,light rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
534,Zhangye,CN,87.75,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
535,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
536,Babu,CN,88.81,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
538,Dwarka,IN,82.4,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
544,Roma,US,75.13,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
546,Guamuchil,MX,76.75,broken clouds,25.4667,-108.1,Hotel Heredia
547,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
549,Bhopal,IN,84.43,haze,23.2667,77.4,SPOT ON 63658 Shukla Lodge
550,Tabuk,PH,85.71,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
551,Zhigansk,RU,73.69,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
554,Funchal,PT,72.23,scattered clouds,32.6333,-16.9,Pestana Casino Park
556,Pochutla,MX,75.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
557,Santo Antonio Do Ica,BR,73.13,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
558,Morant Bay,JM,75.61,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
559,Manggar,ID,76.3,overcast clouds,-2.8833,108.2667,Guest Hotel
562,Domoni,KM,78.69,light rain,-12.2569,44.5319,Al Djadid
563,Chickasha,US,85.21,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
565,Sakaraha,MG,71.6,clear sky,-22.9,44.5333,Le Relais
567,San Jose,US,70.34,overcast clouds,37.3394,-121.895,The Westin San Jose
568,Guiuan,PH,84.15,scattered clouds,11.0333,125.7247,Khaishra Hotel
571,Faya,SA,76.8,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
575,Tortoli,IT,83.82,broken clouds,39.9256,9.6572,Hotel La Bitta
576,Mongo,TD,72.63,moderate rain,12.1844,18.693,Résidences du Programme FIDA
577,Buala,SB,76.23,light rain,-8.145,159.5921,Maringe Lagoon Lodge
579,Codo,BR,72.55,scattered clouds,-4.4553,-43.8856,Hotel Porto do Sol
581,Gori,GE,77.32,clear sky,41.9842,44.1158,Guesthouse MK
583,Pueblo,US,75.96,scattered clouds,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
586,Petatlan,MX,75.6,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
587,Boca Do Acre,BR,71.8,clear sky,-8.7522,-67.3978,Hotel Sao Pedro
588,Sibolga,ID,84.34,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
589,Misratah,LY,82.96,clear sky,32.3754,15.0925,فندق الماسة
590,Les Cayes,HT,79.83,overcast clouds,18.2,-73.75,Villa Orphee
591,Quelimane,MZ,73.22,clear sky,-17.8786,36.8883,Hotel Flamingo
593,Alenquer,BR,72.68,moderate rain,-1.9417,-54.7383,Josilene Castro
596,Grand-Santi,GF,72.55,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
598,Vernon,CA,76.98,clear sky,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
601,Tatawin,TN,84.78,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
605,Danville,US,76.6,few clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
606,Nishihara,JP,85.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
608,Boali,CF,71.51,overcast clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
609,Naze,JP,81.1,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
612,Morondava,MG,74.89,clear sky,-20.2833,44.2833,La Case Bambou
614,Mantua,IT,79.75,overcast clouds,45.1667,10.7833,Hotel la Favorita
615,Nenjiang,CN,73.65,scattered clouds,49.1833,125.2167,Nenjiang Apartment
618,Beihai,CN,87.15,moderate rain,21.4833,109.1,21 Degree Hostel
619,Racine,US,73.49,scattered clouds,42.7495,-88.0751,Tiny hooves
620,Pandan,PH,86.77,broken clouds,14.0453,124.1694,Bonifacio Lodge
622,Alappuzha,IN,81.14,overcast clouds,9.49,76.3264,Panoramic Sea Resort
625,Streator,US,72.0,overcast clouds,41.1209,-88.8354,AmericInn by Wyndham Streator
627,Glace Bay,CA,70.57,overcast clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
628,Xining,CN,76.12,broken clouds,36.6167,101.7667,Super Leisure Hotel
629,Sampit,ID,86.86,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
630,Eravur,LK,84.92,moderate rain,7.7733,81.6095,Farhan KING House
632,Romans-Sur-Isere,FR,72.84,broken clouds,45.0464,5.0562,le clos des tanneurs
637,Matara,LK,83.43,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
638,Zhanaozen,KZ,88.09,clear sky,43.3,52.8,K.korabay 28A
645,Koumac,NC,70.77,broken clouds,-20.5667,164.2833,Le Monitel
646,Tupik,RU,71.51,broken clouds,54.4253,119.9327,Guest House Orkhideya
650,Epe,NG,73.92,light rain,6.5841,3.9834,MAGVILLE HOTEL
651,Guiyang,CN,80.31,light rain,26.5833,106.7167,Guo Tai Hotel Guiyang
653,Westport,US,82.85,few clouds,41.1415,-73.3579,The Westport Inn
654,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
657,Saint-Pierre,RE,79.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
658,Baneh,IR,85.98,clear sky,35.9975,45.8853,ساختمان زیتون
659,Sturgeon Falls,CA,71.89,scattered clouds,46.3646,-79.9326,Lincoln Motel
661,Aloleng,PH,83.44,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
662,Alibag,IN,86.07,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
665,Pinos Puente,ES,86.07,few clouds,37.2511,-3.7497,HOTEL MONTE ELVIRA
668,Vaitape,PF,78.26,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
669,Dongsheng,CN,82.29,clear sky,39.8161,109.9776,Crowne Plaza Ordos
672,Atar,MR,87.71,broken clouds,20.5169,-13.0499,Oumou Elghoura
673,Palas,ID,81.99,light rain,-5.6519,105.6801,Shekarsarry Homestay
